reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
SWAY,THRE,THRE,"{'mean_confidence': 0.9944395422935486, 'min_confidence': 0.5656340718269348, 'max_confidence': 0.9999996423721313}","{'mean_confidence': 0.9932357668876648, 'min_confidence': 0.6742810010910034, 'max_confidence': 0.9999960660934448}",3.065,2.5924375,1.0,1.0,"{'original_duration': 3.065, 'adjusted_duration': 2.5924375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.9125, 'total_adjusted_duration': 1.814208298849937, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 1, 'total_original_duration': 0.2575, 'total_adjusted_duration': 0.16528014044757922, 'tempo_ratio': 1.557960922}, 'th': {'count': 1, 'total_original_duration': 0.335, 'total_adjusted_duration': 0.23290397857991985, 'tempo_ratio': 1.438361002}, 'w': {'count': 1, 'total_original_duration': 0.145, 'total_adjusted_duration': 0.08259987276224455, 'tempo_ratio': 1.755450646}, 'ay': {'count': 1, 'total_original_duration': 0.405, 'total_adjusted_duration': 0.2975132784565414, 'tempo_ratio': 1.361283779}}}",0170.wav
SLIP,PHLIP,PHLIP,"{'mean_confidence': 0.9849015474319458, 'min_confidence': 0.5313814282417297, 'max_confidence': 0.9999996423721313}","{'mean_confidence': 0.9845666885375977, 'min_confidence': 0.6372191905975342, 'max_confidence': 0.9999996423721313}",2.61,2.14725,1.0,1.0,"{'original_duration': 2.61, 'adjusted_duration': 2.14725, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.6949999999999998, 'total_adjusted_duration': 1.6078865707454342, 'tempo_ratio': 1.05417884}, 's': {'count': 1, 'total_original_duration': 0.4025, 'total_adjusted_duration': 0.23887114739629847, 'tempo_ratio': 1.685008861}, 'l': {'count': 1, 'total_original_duration': 0.075, 'total_adjusted_duration': 0.04168412325959455, 'tempo_ratio': 1.799246191}, 'ih': {'count': 1, 'total_original_duration': 0.0875, 'total_adjusted_duration': 0.05256137977065119, 'tempo_ratio': 1.664720378}, 'pcl': {'count': 1, 'total_original_duration': 0.12, 'total_adjusted_duration': 0.07188096282537038, 'tempo_ratio': 1.66942672}, 'p': {'count': 1, 'total_original_duration': 0.22, 'total_adjusted_duration': 0.13436131227149, 'tempo_ratio': 1.637376089}}}",0171.wav
MY SISTER MADE THE FLOWERED CURTAINS,MAMA MA O MAD THAT TE THAT FLOWER SUDINDIN DID'T IN,MAMA MA TO TERMAY TABEN THE PLOWRIN UDENDINININ,"{'mean_confidence': 0.9308281540870667, 'min_confidence': 0.25904354453086853, 'max_confidence': 0.9999983310699463}","{'mean_confidence': 0.9224550724029541, 'min_confidence': 0.288957417011261, 'max_confidence': 0.9999951124191284}",12.62,9.413125,1.8333333333333333,1.1666666666666667,"{'original_duration': 12.62, 'adjusted_duration': 9.413125, 'phoneme_stats': {'noi': {'count': 7, 'total_original_duration': 5.505000000000001, 'total_adjusted_duration': 5.2220740837484465, 'tempo_ratio': 1.05417884}, 'm': {'count': 4, 'total_original_duration': 0.28, 'total_adjusted_duration': 0.15980812970221403, 'tempo_ratio': 1.752101101}, 'ah': {'count': 2, 'total_original_duration': 0.1575, 'total_adjusted_duration': 0.07429597971641826, 'tempo_ratio': 2.119899362}, 'ay': {'count': 2, 'total_original_duration': 0.5875, 'total_adjusted_duration': 0.43157790393387185, 'tempo_ratio': 1.361283779}, 's': {'count': 1, 'total_original_duration': 0.2425, 'total_adjusted_duration': 0.14391615712696243, 'tempo_ratio': 1.685008861}, 'tcl': {'count': 2, 'total_original_duration': 0.23500000000000001, 'total_adjusted_duration': 0.14027148422405894, 'tempo_ratio': 1.675322688}, 't': {'count': 2, 'total_original_duration': 0.0775, 'total_adjusted_duration': 0.04704145842943132, 'tempo_ratio': 1.647482935}, 'ih': {'count': 6, 'total_original_duration': 0.6799999999999999, 'total_adjusted_duration': 0.40847700850334645, 'tempo_ratio': 1.664720378}, 'er': {'count': 2, 'total_original_duration': 1.0075, 'total_adjusted_duration': 0.4977227457789055, 'tempo_ratio': 2.024219324}, 'l': {'count': 2, 'total_original_duration': 0.325, 'total_adjusted_duration': 0.18063120079157638, 'tempo_ratio': 1.799246191}, 'ey': {'count': 1, 'total_original_duration': 0.29, 'total_adjusted_duration': 0.188935892997374, 'tempo_ratio': 1.534912162}, 'dcl': {'count': 5, 'total_original_duration': 0.9475, 'total_adjusted_duration': 0.6081667303847818, 'tempo_ratio': 1.557960922}, 'd': {'count': 5, 'total_original_duration': 0.15749999999999997, 'total_adjusted_duration': 0.08796836989408445, 'tempo_ratio': 1.790416262}, 'dh': {'count': 1, 'total_original_duration': 0.0375, 'total_adjusted_duration': 0.016806194780605674, 'tempo_ratio': 2.231320087}, 'ae': {'count': 1, 'total_original_duration': 0.1025, 'total_adjusted_duration': 0.058549968736515884, 'tempo_ratio': 1.750641413}, 'f': {'count': 1, 'total_original_duration': 0.125, 'total_adjusted_duration': 0.07665616680167013, 'tempo_ratio': 1.630658109}, 'ow': {'count': 1, 'total_original_duration': 0.1175, 'total_adjusted_duration': 0.07199474942966402, 'tempo_ratio': 1.632063462}, 'n': {'count': 4, 'total_original_duration': 1.7349999999999999, 'total_adjusted_duration': 0.9982901453252045, 'tempo_ratio': 1.737971679}}}",0172.wav
KNOT,NOT,NUT,"{'mean_confidence': 0.9915072917938232, 'min_confidence': 0.6727867126464844, 'max_confidence': 0.9999988079071045}","{'mean_confidence': 0.9810271859169006, 'min_confidence': 0.6079956889152527, 'max_confidence': 0.9999957084655762}",2.075,1.7435625,1.0,1.0,"{'original_duration': 2.075, 'adjusted_duration': 1.7435625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.483, 'total_adjusted_duration': 1.4067821736964479, 'tempo_ratio': 1.05417884}, 'n': {'count': 1, 'total_original_duration': 0.149625, 'total_adjusted_duration': 0.08609173659612897, 'tempo_ratio': 1.737971679}, 'aa': {'count': 1, 'total_original_duration': 0.153875, 'total_adjusted_duration': 0.08219836001293648, 'tempo_ratio': 1.871995986}, 'tcl': {'count': 1, 'total_original_duration': 0.138875, 'total_adjusted_duration': 0.08289447817709014, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.1410625, 'total_adjusted_duration': 0.08562304167356975, 'tempo_ratio': 1.647482935}}}",0173.wav
WE GATHERED SHELLS ON THE BEACH,WE WEK EGAIN JODONANA BE BEACH,WE WEK EGEN JAT ON ONA BE BEACH,"{'mean_confidence': 0.9467908143997192, 'min_confidence': 0.3975991904735565, 'max_confidence': 0.9999977350234985}","{'mean_confidence': 0.9343606233596802, 'min_confidence': 0.4599055349826813, 'max_confidence': 0.9999915361404419}",6.44,4.8971875,0.6666666666666666,0.8333333333333334,"{'original_duration': 6.44, 'adjusted_duration': 4.8971875, 'phoneme_stats': {'noi': {'count': 5, 'total_original_duration': 2.9325, 'total_adjusted_duration': 2.78178605823657, 'tempo_ratio': 1.05417884}, 'w': {'count': 2, 'total_original_duration': 0.155, 'total_adjusted_duration': 0.08829641571136487, 'tempo_ratio': 1.755450646}, 'iy': {'count': 5, 'total_original_duration': 0.5225, 'total_adjusted_duration': 0.3358938594021488, 'tempo_ratio': 1.555550914}, 'gcl': {'count': 2, 'total_original_duration': 0.16, 'total_adjusted_duration': 0.1169713811231993, 'tempo_ratio': 1.367855953}, 'g': {'count': 2, 'total_original_duration': 0.14250000000000002, 'total_adjusted_duration': 0.09118927619948007, 'tempo_ratio': 1.562683749}, 'ae': {'count': 1, 'total_original_duration': 0.155, 'total_adjusted_duration': 0.08853897711375573, 'tempo_ratio': 1.750641413}, 'dh': {'count': 1, 'total_original_duration': 0.1225, 'total_adjusted_duration': 0.05490023628331187, 'tempo_ratio': 2.231320087}, 'er': {'count': 1, 'total_original_duration': 0.14, 'total_adjusted_duration': 0.06916246591468662, 'tempo_ratio': 2.024219324}, 'd': {'count': 2, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.05166396327112897, 'tempo_ratio': 1.790416262}, 'dcl': {'count': 3, 'total_original_duration': 0.3025, 'total_adjusted_duration': 0.194164048486962, 'tempo_ratio': 1.557960922}, 'ch': {'count': 2, 'total_original_duration': 0.2725, 'total_adjusted_duration': 0.19544149727161592, 'tempo_ratio': 1.394279126}, 'eh': {'count': 1, 'total_original_duration': 0.1325, 'total_adjusted_duration': 0.08374278282023903, 'tempo_ratio': 1.582225901}, 'l': {'count': 1, 'total_original_duration': 0.045, 'total_adjusted_duration': 0.02501047395575673, 'tempo_ratio': 1.799246191}, 'aa': {'count': 3, 'total_original_duration': 0.44250000000000006, 'total_adjusted_duration': 0.23637871197871257, 'tempo_ratio': 1.871995986}, 'n': {'count': 3, 'total_original_duration': 0.31999999999999995, 'total_adjusted_duration': 0.18412267810032595, 'tempo_ratio': 1.737971679}, 'bcl': {'count': 1, 'total_original_duration': 0.21, 'total_adjusted_duration': 0.13019446602433216, 'tempo_ratio': 1.612971783}, 'b': {'count': 1, 'total_original_duration': 0.05, 'total_adjusted_duration': 0.02988358956461371, 'tempo_ratio': 1.673159106}, 'pcl': {'count': 1, 'total_original_duration': 0.19, 'total_adjusted_duration': 0.11381152447350311, 'tempo_ratio': 1.66942672}, 'p': {'count': 1, 'total_original_duration': 0.0425, 'total_adjusted_duration': 0.02595616259790148, 'tempo_ratio': 1.637376089}}}",0174.wav
EXPLORE,A TINC BLOURN,A D,"{'mean_confidence': 0.9533406496047974, 'min_confidence': 0.42347654700279236, 'max_confidence': 0.9999847412109375}","{'mean_confidence': 0.9662590622901917, 'min_confidence': 0.26108938455581665, 'max_confidence': 0.9999840259552002}",4.795,3.934625,3.0,2.0,"{'original_duration': 4.795, 'adjusted_duration': 3.934625, 'phoneme_stats': {'noi': {'count': 3, 'total_original_duration': 3.0, 'total_adjusted_duration': 2.84581693937245, 'tempo_ratio': 1.05417884}, 'eh': {'count': 1, 'total_original_duration': 0.2575, 'total_adjusted_duration': 0.1627454081223513, 'tempo_ratio': 1.582225901}, 'pcl': {'count': 2, 'total_original_duration': 0.6825, 'total_adjusted_duration': 0.408822976069294, 'tempo_ratio': 1.66942672}, 'p': {'count': 2, 'total_original_duration': 0.29, 'total_adjusted_duration': 0.17711263890332773, 'tempo_ratio': 1.637376089}, 'l': {'count': 1, 'total_original_duration': 0.095, 'total_adjusted_duration': 0.0527998894621531, 'tempo_ratio': 1.799246191}, 'ao': {'count': 1, 'total_original_duration': 0.1075, 'total_adjusted_duration': 0.06234819327779608, 'tempo_ratio': 1.724187893}, 'r': {'count': 1, 'total_original_duration': 0.3525, 'total_adjusted_duration': 0.22495595534700993, 'tempo_ratio': 1.566973408}}}",0175.wav
GALORE,KIGADON,IKIL,"{'mean_confidence': 0.9701261520385742, 'min_confidence': 0.2965346872806549, 'max_confidence': 0.9999988079071045}","{'mean_confidence': 0.9640617370605469, 'min_confidence': 0.3478394150733948, 'max_confidence': 0.999998927116394}",3.975,3.438375,1.0,1.0,"{'original_duration': 3.975, 'adjusted_duration': 3.438375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 3.025, 'total_adjusted_duration': 2.8695320805338875, 'tempo_ratio': 1.05417884}, 'gcl': {'count': 1, 'total_original_duration': 0.15, 'total_adjusted_duration': 0.10966066980299934, 'tempo_ratio': 1.367855953}, 'g': {'count': 2, 'total_original_duration': 0.22, 'total_adjusted_duration': 0.14078344395709202, 'tempo_ratio': 1.562683749}, 'iy': {'count': 1, 'total_original_duration': 0.12, 'total_adjusted_duration': 0.07714308732680929, 'tempo_ratio': 1.555550914}, 'ah': {'count': 1, 'total_original_duration': 0.13, 'total_adjusted_duration': 0.06132366579767856, 'tempo_ratio': 2.119899362}, 'l': {'count': 1, 'total_original_duration': 0.1125, 'total_adjusted_duration': 0.06252618488939184, 'tempo_ratio': 1.799246191}, 'ao': {'count': 1, 'total_original_duration': 0.2025, 'total_adjusted_duration': 0.11744659663956937, 'tempo_ratio': 1.724187893}}}",0176.wav
ROOT,RUTON,RUTEM,"{'mean_confidence': 0.9641289114952087, 'min_confidence': 0.4737442135810852, 'max_confidence': 0.9999890327453613}","{'mean_confidence': 0.9601585268974304, 'min_confidence': 0.41105201840400696, 'max_confidence': 0.9999639987945557}",2.36,2.0124375,1.0,1.0,"{'original_duration': 2.36, 'adjusted_duration': 2.0124375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.7255625, 'total_adjusted_duration': 1.636878330815291, 'tempo_ratio': 1.05417884}, 'r': {'count': 1, 'total_original_duration': 0.1483125, 'total_adjusted_duration': 0.09464902163802388, 'tempo_ratio': 1.566973408}, 'uw': {'count': 1, 'total_original_duration': 0.1409375, 'total_adjusted_duration': 0.07807298677216953, 'tempo_ratio': 1.805201848}, 'tcl': {'count': 1, 'total_original_duration': 0.0705, 'total_adjusted_duration': 0.042081445267217674, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.2649375, 'total_adjusted_duration': 0.16081350184061238, 'tempo_ratio': 1.647482935}}}",0177.wav
GNAW,UMA,NA,"{'mean_confidence': 0.9680238962173462, 'min_confidence': 0.37242254614830017, 'max_confidence': 0.999997615814209}","{'mean_confidence': 0.988130509853363, 'min_confidence': 0.4688876271247864, 'max_confidence': 0.9999992847442627}",3.9800625,3.4455,1.0,1.0,"{'original_duration': 3.9800625, 'adjusted_duration': 3.4455, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 3.1050000000000004, 'total_adjusted_duration': 2.9454205322504863, 'tempo_ratio': 1.05417884}, 'n': {'count': 1, 'total_original_duration': 0.3325, 'total_adjusted_duration': 0.19131497021361993, 'tempo_ratio': 1.737971679}, 'ao': {'count': 1, 'total_original_duration': 0.5325, 'total_adjusted_duration': 0.30884105042257126, 'tempo_ratio': 1.724187893}}}",0178.wav
CHEER,JSEUX,EU,"{'mean_confidence': 0.9674907922744751, 'min_confidence': 0.2139492630958557, 'max_confidence': 0.9999992847442627}","{'mean_confidence': 0.9703174233436584, 'min_confidence': 0.25397181510925293, 'max_confidence': 0.9999983310699463}",2.915,2.529875,1.0,1.0,"{'original_duration': 2.915, 'adjusted_duration': 2.529875, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.0975, 'total_adjusted_duration': 1.9897003434445715, 'tempo_ratio': 1.05417884}, 'ch': {'count': 1, 'total_original_duration': 0.335, 'total_adjusted_duration': 0.2402675287559315, 'tempo_ratio': 1.394279126}, 'eh': {'count': 1, 'total_original_duration': 0.2575, 'total_adjusted_duration': 0.1627454081223513, 'tempo_ratio': 1.582225901}, 'r': {'count': 1, 'total_original_duration': 0.215, 'total_adjusted_duration': 0.1372071784386018, 'tempo_ratio': 1.566973408}}}",0179.wav
WRITE,RED,WRIGHT,"{'mean_confidence': 0.9913606643676758, 'min_confidence': 0.6649604439735413, 'max_confidence': 0.999998927116394}","{'mean_confidence': 0.9734346866607666, 'min_confidence': 0.5031796097755432, 'max_confidence': 0.9999979734420776}",2.375,2.0526875,1.0,1.0,"{'original_duration': 2.375, 'adjusted_duration': 2.0526875, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.7341250000000001, 'total_adjusted_duration': 1.6450007666630833, 'tempo_ratio': 1.05417884}, 'r': {'count': 1, 'total_original_duration': 0.176125, 'total_adjusted_duration': 0.11239820605813369, 'tempo_ratio': 1.566973408}, 'ay': {'count': 1, 'total_original_duration': 0.159, 'total_adjusted_duration': 0.11680150931997552, 'tempo_ratio': 1.361283779}, 'tcl': {'count': 1, 'total_original_duration': 0.1075625, 'total_adjusted_duration': 0.06420404902915038, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.188375, 'total_adjusted_duration': 0.11434109331153709, 'tempo_ratio': 1.647482935}}}",0180.wav
RELAX YOUR MOUTH IN ITS NORMAL POSITION,,,"{'mean_confidence': 0.593505859375, 'min_confidence': 0.5901220440864563, 'max_confidence': 0.5977960824966431}","{'mean_confidence': 0.48275306820869446, 'min_confidence': 0.4793914258480072, 'max_confidence': 0.4863514304161072}",3.535,3.3438125,1.0,1.0,"{'original_duration': 3.535, 'adjusted_duration': 3.3438125, 'phoneme_stats': {'noi': {'count': 1, 'total_original_duration': 3.525, 'total_adjusted_duration': 3.343834903762629, 'tempo_ratio': 1.05417884}}}",0181.wav
HE WILL ALLOW A RARE LIE,HE WIL WIL A LOUR A LE WERE LIE,HEMELA ANOU ALELI,"{'mean_confidence': 0.9337537288665771, 'min_confidence': 0.23606804013252258, 'max_confidence': 0.9999885559082031}","{'mean_confidence': 0.9076238870620728, 'min_confidence': 0.3017021715641022, 'max_confidence': 0.9999978542327881}",5.695,3.9564375,1.0,1.0,"{'original_duration': 5.695, 'adjusted_duration': 3.9564375, 'phoneme_stats': {'noi': {'count': 4, 'total_original_duration': 1.7625000000000002, 'total_adjusted_duration': 1.6719174518813147, 'tempo_ratio': 1.05417884}, 'hh': {'count': 2, 'total_original_duration': 0.5700000000000001, 'total_adjusted_duration': 0.3955755485606618, 'tempo_ratio': 1.440938405}, 'iy': {'count': 2, 'total_original_duration': 0.37, 'total_adjusted_duration': 0.23785785259099532, 'tempo_ratio': 1.555550914}, 'w': {'count': 1, 'total_original_duration': 0.1225, 'total_adjusted_duration': 0.06978265112672384, 'tempo_ratio': 1.755450646}, 'ih': {'count': 1, 'total_original_duration': 0.095, 'total_adjusted_duration': 0.057066640893849864, 'tempo_ratio': 1.664720378}, 'l': {'count': 5, 'total_original_duration': 0.7649999999999999, 'total_adjusted_duration': 0.4251780572478644, 'tempo_ratio': 1.799246191}, 'ah': {'count': 4, 'total_original_duration': 1.045, 'total_adjusted_duration': 0.4929479289121084, 'tempo_ratio': 2.119899362}, 'ao': {'count': 2, 'total_original_duration': 0.375, 'total_adjusted_duration': 0.217493697480684, 'tempo_ratio': 1.724187893}, 'eh': {'count': 1, 'total_original_duration': 0.19, 'total_adjusted_duration': 0.12008399045921067, 'tempo_ratio': 1.582225901}, 'r': {'count': 1, 'total_original_duration': 0.185, 'total_adjusted_duration': 0.11806199074949458, 'tempo_ratio': 1.566973408}, 'ay': {'count': 1, 'total_original_duration': 0.205, 'total_adjusted_duration': 0.15059314094713824, 'tempo_ratio': 1.361283779}}}",0183.wav
BRIAR,WU ABAMAMAMA BER,HE POT WUPE EBE O THER,"{'mean_confidence': 0.921572208404541, 'min_confidence': 0.32333046197891235, 'max_confidence': 0.9999954700469971}","{'mean_confidence': 0.9010404348373413, 'min_confidence': 0.3173304498195648, 'max_confidence': 0.9999955892562866}",6.17,4.6635625,3.0,6.0,"{'original_duration': 6.17, 'adjusted_duration': 4.6635625, 'phoneme_stats': {'noi': {'count': 3, 'total_original_duration': 2.8, 'total_adjusted_duration': 2.6560958100809535, 'tempo_ratio': 1.05417884}, 'bcl': {'count': 7, 'total_original_duration': 1.2574999999999998, 'total_adjusted_duration': 0.7796168620266557, 'tempo_ratio': 1.612971783}, 'b': {'count': 10, 'total_original_duration': 0.9975, 'total_adjusted_duration': 0.5961776118140435, 'tempo_ratio': 1.673159106}, 'uh': {'count': 5, 'total_original_duration': 0.685, 'total_adjusted_duration': 0.3923769278533157, 'tempo_ratio': 1.745770333}, 'ah': {'count': 1, 'total_original_duration': 0.17, 'total_adjusted_duration': 0.08019248604311813, 'tempo_ratio': 2.119899362}, 'eh': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.05846194272356309, 'tempo_ratio': 1.582225901}, 'r': {'count': 1, 'total_original_duration': 0.1575, 'total_adjusted_duration': 0.10051223536781295, 'tempo_ratio': 1.566973408}}}",0185.wav
JUST ONE SIDE GOT WET,JUNT A THYIN YOU GOT AWARE,JUNT ONE THINDYOU GOT WARE,"{'mean_confidence': 0.9500188231468201, 'min_confidence': 0.3903288245201111, 'max_confidence': 0.9999904632568359}","{'mean_confidence': 0.9294171333312988, 'min_confidence': 0.5154443383216858, 'max_confidence': 0.999997615814209}",5.565,4.08375,1.0,0.6,"{'original_duration': 5.565, 'adjusted_duration': 4.08375, 'phoneme_stats': {'noi': {'count': 4, 'total_original_duration': 2.1925, 'total_adjusted_duration': 2.079817879858032, 'tempo_ratio': 1.05417884}, 'dcl': {'count': 2, 'total_original_duration': 0.1575, 'total_adjusted_duration': 0.10109367813783972, 'tempo_ratio': 1.557960922}, 'jh': {'count': 1, 'total_original_duration': 0.0775, 'total_adjusted_duration': 0.04064440211176419, 'tempo_ratio': 1.906781647}, 'ah': {'count': 2, 'total_original_duration': 0.265, 'total_adjusted_duration': 0.12500593412603705, 'tempo_ratio': 2.119899362}, 'd': {'count': 1, 'total_original_duration': 0.165, 'total_adjusted_duration': 0.09215733988904085, 'tempo_ratio': 1.790416262}, 'w': {'count': 2, 'total_original_duration': 0.2825, 'total_adjusted_duration': 0.16092733831264888, 'tempo_ratio': 1.755450646}, 'n': {'count': 2, 'total_original_duration': 1.3125, 'total_adjusted_duration': 0.7551906718958682, 'tempo_ratio': 1.737971679}, 'th': {'count': 1, 'total_original_duration': 0.09, 'total_adjusted_duration': 0.06257121812594861, 'tempo_ratio': 1.438361002}, 'ay': {'count': 1, 'total_original_duration': 0.325, 'total_adjusted_duration': 0.23874522345278015, 'tempo_ratio': 1.361283779}, 'hh': {'count': 1, 'total_original_duration': 0.0525, 'total_adjusted_duration': 0.03643458999900832, 'tempo_ratio': 1.440938405}, 'iy': {'count': 1, 'total_original_duration': 0.1225, 'total_adjusted_duration': 0.07875023497945115, 'tempo_ratio': 1.555550914}, 'g': {'count': 1, 'total_original_duration': 0.1125, 'total_adjusted_duration': 0.0719915338416948, 'tempo_ratio': 1.562683749}, 'aa': {'count': 1, 'total_original_duration': 0.1275, 'total_adjusted_duration': 0.06810912040064598, 'tempo_ratio': 1.871995986}, 'eh': {'count': 1, 'total_original_duration': 0.2725, 'total_adjusted_duration': 0.1722257231586048, 'tempo_ratio': 1.582225901}}}",0186.wav
WHY YELL OR WORRY OVER SILLY ITEMS,WHY YE A O WOIN AL GIN FOR THE IDEM,WHY YE A OIN GOIN FOR THE ITEM,"{'mean_confidence': 0.9293380379676819, 'min_confidence': 0.364473819732666, 'max_confidence': 0.9999890327453613}","{'mean_confidence': 0.9271032214164734, 'min_confidence': 0.4117034673690796, 'max_confidence': 0.9999876022338867}",7.86,5.557125,1.2857142857142858,1.0,"{'original_duration': 7.86, 'adjusted_duration': 5.557125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.3275, 'total_adjusted_duration': 2.2078796421297926, 'tempo_ratio': 1.05417884}, 'w': {'count': 2, 'total_original_duration': 0.515, 'total_adjusted_duration': 0.29337196187969616, 'tempo_ratio': 1.755450646}, 'ay': {'count': 2, 'total_original_duration': 0.575, 'total_adjusted_duration': 0.4223953953395341, 'tempo_ratio': 1.361283779}, 'iy': {'count': 3, 'total_original_duration': 0.9325, 'total_adjusted_duration': 0.5994660744354139, 'tempo_ratio': 1.555550914}, 'eh': {'count': 2, 'total_original_duration': 0.2625, 'total_adjusted_duration': 0.1659055131344358, 'tempo_ratio': 1.582225901}, 'l': {'count': 2, 'total_original_duration': 0.6825000000000001, 'total_adjusted_duration': 0.3793255216623105, 'tempo_ratio': 1.799246191}, 'ao': {'count': 1, 'total_original_duration': 0.415, 'total_adjusted_duration': 0.24069302521195696, 'tempo_ratio': 1.724187893}, 'er': {'count': 2, 'total_original_duration': 0.4325, 'total_adjusted_duration': 0.21366261791501398, 'tempo_ratio': 2.024219324}, 'n': {'count': 1, 'total_original_duration': 0.385, 'total_adjusted_duration': 0.22152259708945465, 'tempo_ratio': 1.737971679}, 'ow': {'count': 1, 'total_original_duration': 0.355, 'total_adjusted_duration': 0.21751605146834663, 'tempo_ratio': 1.632063462}, 'v': {'count': 1, 'total_original_duration': 0.1225, 'total_adjusted_duration': 0.06875681374762238, 'tempo_ratio': 1.781641605}, 'dcl': {'count': 2, 'total_original_duration': 0.3275, 'total_adjusted_duration': 0.21021066406439687, 'tempo_ratio': 1.557960922}, 'th': {'count': 1, 'total_original_duration': 0.15, 'total_adjusted_duration': 0.10428536354324767, 'tempo_ratio': 1.438361002}, 'ih': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.05556488718611697, 'tempo_ratio': 1.664720378}, 'd': {'count': 1, 'total_original_duration': 0.035, 'total_adjusted_duration': 0.01954852664312988, 'tempo_ratio': 1.790416262}, 'm': {'count': 1, 'total_original_duration': 0.24, 'total_adjusted_duration': 0.13697839688761201, 'tempo_ratio': 1.752101101}}}",0187.wav
NO,YOU,YOU,"{'mean_confidence': 0.9688499569892883, 'min_confidence': 0.4782184660434723, 'max_confidence': 0.9999978542327881}","{'mean_confidence': 0.9696924686431885, 'min_confidence': 0.38712677359580994, 'max_confidence': 0.9999947547912598}",2.415,2.08175,1.0,1.0,"{'original_duration': 2.415, 'adjusted_duration': 2.08175, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.8405, 'total_adjusted_duration': 1.7459086923049982, 'tempo_ratio': 1.05417884}, 'n': {'count': 1, 'total_original_duration': 0.189, 'total_adjusted_duration': 0.10874745675300501, 'tempo_ratio': 1.737971679}, 'ow': {'count': 1, 'total_original_duration': 0.3705625, 'total_adjusted_duration': 0.22705152625982875, 'tempo_ratio': 1.632063462}}}",0188.wav
